x y
0 0
1000 0.0
2000 0.5
3000 0.5
4000 0.5
5000 0.0
6000 0.0
7000 0.0
8000 0.0
9000 0.333333333333
10000 0.0
11000 0.199870495266
12000 0.25
13000 0.339185113046
14000 0.348407522739
15000 0.48885679565
16000 0.479468743954
17000 0.424783086163
18000 0.808336824644
19000 1.0
20000 1.0
21000 1.0
22000 1.0
23000 0.333333333333
24000 0.344777021614
25000 0.5
26000 0.5
27000 0.5
28000 0.5
29000 0.5
30000 0.5
31000 0.5
32000 0.952054443021
33000 1.0
34000 1.0
35000 1.0
36000 1.0
37000 1.0
38000 0.74951799083
39000 0.784025170328
40000 0.771731259536
41000 1.0
42000 1.0
43000 1.0
44000 1.0
45000 1.0
46000 1.0
47000 1.0
48000 1.0
49000 1.0
50000 1.0
51000 1.0
52000 1.0
53000 1.0
54000 1.0
55000 1.0
56000 1.0
57000 1.0
58000 1.0
59000 1.0
60000 1.0
61000 0.75
62000 0.75
63000 0.75
64000 0.75
65000 0.75
66000 0.75
67000 0.5
68000 0.5
69000 0.5
70000 0.5
71000 0.5
72000 0.5
73000 0.5
74000 0.5
75000 0.5
76000 0.5
77000 0.5
78000 0.5
79000 0.5
