x y
0 0
1000 35.8463726885
2000 31.1685503093
3000 151.79062513
4000 211.246943765
5000 211.246943765
6000 284.210526316
7000 284.210526316
8000 284.210526316
9000 275.272294243
10000 144.0
11000 144.0
12000 144.0
13000 144.0
14000 128.571428571
15000 128.571428571
16000 128.571428571
17000 79.1208791209
18000 187.100027728
19000 192.170818505
20000 158.509606592
21000 161.292961655
22000 134.459888168
23000 137.237617438
24000 175.433199626
25000 65.9061495808
26000 61.2328173597
27000 52.696927932
28000 86.5144545775
29000 96.9256947644
30000 295.890410959
31000 295.890410959
32000 295.890410959
33000 205.204038291
34000 201.348238294
35000 203.852452003
36000 128.571428571
37000 128.571428571
38000 67.8835529272
39000 55.9585492228
40000 105.335628227
41000 295.890410959
42000 105.335628227
43000 50.704845755
44000 59.7489746146
45000 71.4285714286
46000 71.4285714286
47000 71.4285714286
48000 45.2830188679
49000 45.2830188679
50000 45.2830188679
51000 45.2830188679
52000 45.2830188679
53000 45.2830188679
54000 41.9264041287
55000 37.6956198804
56000 45.2830188679
57000 52.4621275821
58000 105.882352941
59000 105.882352941
60000 105.882352941
61000 105.882352941
62000 45.2830188679
63000 66.0084626234
64000 66.0084626234
65000 66.0084626234
66000 66.0084626234
67000 66.0084626234
68000 48.581971534
69000 48.581971534
70000 48.581971534
71000 48.581971534
72000 13.4161490683
73000 26.3280911448
74000 13.4161490683
75000 18.6472685132
76000 28.5252263907
77000 44.4753393674
78000 44.7551315084
79000 48.581971534
