x y
0 0
1000 84.7058823529
2000 33.5965541996
3000 209.302325581
4000 209.302325581
5000 360.0
6000 360.0
7000 360.0
8000 53.5782494612
9000 72.8347412165
10000 125.581395349
11000 125.581395349
12000 113.684210526
13000 94.7368421053
14000 80.0
15000 153.846153846
16000 154.159833918
17000 153.846153846
18000 144.642857143
19000 111.340206186
20000 51.9689193218
21000 47.6777843532
22000 68.6253857235
23000 41.6449007984
24000 45.7367860921
25000 57.0899186116
26000 44.793698251
27000 171.428571429
28000 171.428571429
29000 63.1578947368
30000 63.1578947368
31000 63.1578947368
32000 81.0551173636
33000 82.4388571779
34000 60.8619581604
35000 36.4249205312
36000 29.7456671875
37000 39.0020872677
38000 37.358490566
39000 37.358490566
40000 53.4384183895
41000 41.8860187348
42000 39.0020872677
43000 29.7867788249
44000 31.8883223549
45000 28.0519480519
46000 28.0519480519
47000 28.0519480519
48000 29.6771238837
49000 29.6771238837
50000 29.6771238837
51000 32.2479913228
52000 37.8947368421
53000 37.8947368421
54000 37.8947368421
55000 37.8947368421
56000 24.8648648649
57000 24.8648648649
58000 37.8947368421
59000 28.0519480519
60000 28.0519480519
61000 28.0519480519
62000 72.6605504587
63000 72.6605504587
64000 72.6605504587
65000 72.6605504587
66000 72.6605504587
67000 24.8648648649
68000 24.8648648649
69000 24.8648648649
70000 24.8648648649
71000 9.17810576974
72000 20.2373516552
73000 72.6605504587
74000 72.6605504587
75000 72.6605504587
76000 72.6605504587
77000 72.6605504587
78000 13.7229987294
79000 13.7229987294
