x y
0 0
1000 75.0
2000 32.7272727273
3000 189.473684211
4000 300.0
5000 300.0
6000 14.4772117962
7000 18.1818181818
8000 61.0169491525
9000 315.751763201
10000 18.8162523067
11000 18.1818181818
12000 17.7090308016
13000 18.75
14000 18.75
15000 6.79287290001
16000 10.5365853659
17000 9.06801007557
18000 9.06801007557
19000 17.5921414082
20000 17.5842207058
21000 18.136076093
22000 16.4935222519
23000 18.1818181818
24000 15.7607880998
25000 7.17051657018
26000 7.41055128166
27000 11.8343195266
28000 6.94273928998
29000 7.11166906258
30000 8.75912408759
31000 11.7537313433
32000 11.7537313433
33000 6.8581938407
34000 6.60550458716
35000 6.91620482498
36000 9.19437873352
37000 10.3615756482
38000 9.1152060768
39000 10.3926096998
40000 9.1152060768
41000 14.4288577154
42000 9.79670326814
43000 10.1150094654
44000 15.0
45000 15.0
46000 15.0
47000 15.0
48000 15.0
49000 8.64345997572
50000 9.89680228995
51000 8.66574965612
52000 8.66574965612
53000 9.41204555178
54000 7.14128278598
55000 7.14128278598
56000 7.14128278598
57000 7.14128278598
58000 5.90260698475
59000 5.90260698475
60000 6.65803587942
61000 6.65803587942
62000 7.0570099437
63000 6.65803587942
64000 6.65803587942
65000 6.0042887777
66000 6.0042887777
67000 6.27520908568
68000 6.0042887777
69000 5.62603382037
70000 4.89174744089
71000 10.3926096998
72000 10.3926096998
73000 10.3926096998
74000 10.3926096998
75000 10.3926096998
76000 6.65803587942
77000 3.72067942842
78000 3.91832469851
79000 6.65803587942
