x y
0 0
1000 44.8598130841
2000 80.8988764045
3000 44.8598130841
4000 360.0
5000 360.0
6000 99.0825688073
7000 99.0825688073
8000 153.846153846
9000 153.846153846
10000 360.0
11000 360.0
12000 360.0
13000 360.0
14000 118.681318681
15000 118.681318681
16000 75.8072377633
17000 75.3934922138
18000 266.982250219
19000 55.679106152
20000 360.0
21000 242.113943155
22000 220.269915614
23000 196.968827816
24000 172.108184306
25000 127.858072403
26000 118.681318681
27000 202.247191011
28000 85.6052240644
29000 202.247191011
30000 94.5114006208
31000 88.0434782609
32000 50.3802217675
33000 118.681318681
34000 50.2575103216
35000 43.9024390244
36000 43.9024390244
37000 34.0694006309
38000 34.0694006309
39000 53.1100478469
40000 53.1100478469
41000 48.6486486486
42000 48.6486486486
43000 48.6486486486
44000 33.6448598131
45000 33.6448598131
46000 38.2214134647
47000 40.7932011331
48000 40.7932011331
49000 60.3174603175
50000 40.7932011331
51000 28.8189483132
52000 64.3282594308
53000 39.780467829
54000 50.1947418535
55000 64.3776824034
56000 64.3776824034
57000 64.3776824034
58000 33.16178287
59000 32.9789863581
60000 31.8287575617
61000 31.8287575617
62000 36.7621419676
63000 36.7621419676
64000 65.3984575835
65000 65.3984575835
66000 65.3984575835
67000 65.3984575835
68000 65.3984575835
69000 27.8664731495
70000 26.6672370995
71000 28.5310845963
72000 27.8664731495
73000 27.8664731495
74000 27.8664731495
75000 27.8664731495
76000 27.8664731495
77000 27.8664731495
78000 27.8664731495
79000 27.8664731495
