x y
0 0
1000 40.0
2000 133.333333333
3000 160.0
4000 360.0
5000 360.0
6000 133.333333333
7000 133.333333333
8000 360.0
9000 360.0
10000 360.0
11000 360.0
12000 360.0
13000 360.0
14000 360.0
15000 360.0
16000 360.0
17000 360.0
18000 360.0
19000 47.4486605576
20000 49.41399178
21000 39.8098324845
22000 49.4845360825
23000 61.0859728507
24000 111.109478441
25000 140.625198519
26000 132.462554679
27000 56.3195404361
28000 52.5547445255
29000 360.0
30000 360.0
31000 360.0
32000 360.0
33000 360.0
34000 285.981308411
35000 285.981308411
36000 285.981308411
37000 42.5942156004
38000 78.55009973
39000 60.9877082836
40000 76.2821835612
41000 131.022530329
42000 94.1649899396
43000 94.1649899396
44000 80.7854137447
45000 65.2849740933
46000 96.4285714286
47000 103.850918478
48000 109.090909091
49000 109.090909091
50000 109.090909091
51000 110.195198941
52000 99.2125984252
53000 99.2125984252
54000 89.7678417885
55000 89.7678417885
56000 110.590137429
57000 106.761565836
58000 104.854368932
59000 104.854368932
60000 104.854368932
61000 86.1129568106
62000 102.632331213
63000 107.718062391
64000 74.0386114371
65000 78.4158415842
66000 78.4158415842
67000 78.4158415842
68000 73.6290447477
69000 84.2902646422
70000 82.1052631579
71000 69.3641618497
72000 69.3641618497
73000 69.3641618497
74000 69.3641618497
75000 76.5957446809
76000 76.5957446809
77000 76.5957446809
78000 76.5957446809
79000 257.142857143
