x y
0 0
1000 65.0602409639
2000 84.9056603774
3000 276.923076923
4000 276.923076923
5000 276.923076923
6000 276.923076923
7000 295.081967213
8000 187.826086957
9000 65.8536585366
10000 82.990047817
11000 171.428571429
12000 161.304721932
13000 163.576758321
14000 155.869790786
15000 97.6248228665
16000 101.774451634
17000 171.428571429
18000 104.002347305
19000 293.938919842
20000 226.683594272
21000 121.407624633
22000 120.341100932
23000 122.14020939
24000 121.65101141
25000 97.8477297372
26000 124.855491329
27000 124.855491329
28000 83.1386506775
29000 90.9425186182
30000 93.4314324429
31000 83.2369942197
32000 121.407624633
33000 60.2510460251
34000 48.4563328726
35000 60.2510460251
36000 48.322147651
37000 124.855491329
38000 124.855491329
39000 47.3684210526
40000 47.3684210526
41000 47.3684210526
42000 47.3684210526
43000 22.8249383586
44000 23.8283327371
45000 22.8249383586
46000 19.8762937239
47000 27.1595625002
48000 25.8594150847
49000 25.8594150847
50000 25.8594150847
51000 32.6586418303
52000 33.9456563078
53000 46.7594350359
54000 47.060519902
55000 31.9091918022
56000 17.9887570269
57000 27.6432368576
58000 24.4985179754
59000 27.6432368576
60000 53.1589524598
61000 50.1995022952
62000 61.9198397052
63000 80.1965056207
64000 88.6382457975
65000 20.0405636147
66000 18.3758700696
67000 18.7527905938
68000 18.7527905938
69000 18.7527905938
70000 18.7527905938
71000 16.511657536
72000 14.2915811088
73000 14.2915811088
74000 14.2915811088
75000 14.2915811088
76000 15.0903851192
77000 15.0903851192
78000 15.0903851192
79000 14.4388496694
