x y
0 0
1000 62.4277456647
2000 163.636363636
3000 62.4277456647
4000 261.728845792
5000 342.857142857
6000 309.090884367
7000 270.0
8000 240.0
9000 240.0
10000 240.0
11000 212.024360839
12000 133.333333333
13000 88.9696068779
14000 43.3243983069
15000 88.9677262535
16000 27.1583614578
17000 20.7812245638
18000 86.4
19000 20.5299677141
20000 20.7173974668
21000 18.3490436093
22000 18.3663661424
23000 17.2097107756
24000 17.2111553785
25000 29.2852992446
26000 29.8659859604
27000 17.2111553785
28000 11.7322637252
29000 11.7322637252
30000 11.7322637252
31000 11.7322637252
32000 8.64345738295
33000 8.95450029275
34000 25.14185945
35000 25.14185945
36000 25.14185945
37000 25.14185945
38000 25.14185945
39000 15.2112676056
40000 15.2112676056
41000 15.2112676056
42000 15.2112676056
43000 15.2112676056
44000 15.2112676056
45000 15.2112676056
46000 7.41596647028
47000 7.69786594588
48000 6.33424612276
49000 11.6883116883
50000 11.1453024298
51000 11.6883116883
52000 11.6883116883
53000 11.1756725361
54000 5.5838688234
55000 5.18803184189
56000 6.25543952688
57000 7.21094674777
58000 8.72318026471
59000 11.34205095
60000 10.2507637446
61000 3.71517027864
62000 3.71517027864
63000 4.5767274965
64000 5.09985550944
65000 5.06026070859
66000 5.13675903443
67000 5.17139656864
68000 5.00655095461
69000 3.49556985071
70000 3.49556985071
71000 4.40970904609
72000 4.58926013531
73000 4.31343792852
74000 3.24437991288
75000 3.24742605233
76000 3.1985784096
77000 3.1985784096
78000 3.96121312152
79000 3.96121312152
