x y
0 0
1000 47.3684210526
2000 47.3684210526
3000 360.0
4000 52.3636363636
5000 52.3636363636
6000 52.3636363636
7000 52.3636363636
8000 85.8147629551
9000 100.0
10000 239.075550371
11000 251.407622205
12000 50.5979124726
13000 73.9399748096
14000 83.7010444067
15000 89.8974357981
16000 88.7539708744
17000 87.7585463828
18000 81.5864022663
19000 81.2425605637
20000 75.4393875519
21000 81.4889864499
22000 91.3319238901
23000 91.3319238901
24000 100.0
25000 100.0
26000 78.2608695652
27000 78.2608695652
28000 78.2608695652
29000 78.2608695652
30000 78.2608695652
31000 29.0909090909
32000 26.780021254
33000 26.780021254
34000 23.606557377
35000 28.9738430584
36000 34.2494714588
37000 34.2494714588
38000 34.2494714588
39000 29.4679399727
40000 36.2264150943
41000 29.4679399727
42000 25.0257466529
43000 25.0257466529
44000 25.0257466529
45000 25.0257466529
46000 25.0257466529
47000 18.2320441989
48000 21.0166595472
49000 30.5239179954
50000 37.5285047236
51000 43.5066180702
52000 59.1564147627
53000 60.5191594561
54000 61.9519790216
55000 69.0137765143
56000 69.0137765143
57000 69.0137765143
58000 69.0137765143
59000 59.7019951174
60000 67.4684571682
61000 67.4684571682
62000 59.9545798637
63000 59.9545798637
64000 59.9545798637
65000 59.9545798637
66000 68.8015172514
67000 68.8015172514
68000 68.8015172514
69000 68.8015172514
70000 68.8015172514
71000 59.9545798637
72000 59.9545798637
73000 23.9460041084
74000 23.9460041084
75000 22.5050234427
76000 22.5050234427
77000 39.0929415522
78000 39.0929415522
79000 39.0929415522
