x y
0 0
1000 51.0638297872
2000 100.0
3000 100.0
4000 263.414634146
5000 263.414634146
6000 53.9325842697
7000 117.073170732
8000 103.429052489
9000 95.5695839864
10000 189.068859148
11000 98.7221472597
12000 149.529693829
13000 180.694980695
14000 133.885239253
15000 130.447795353
16000 132.87767926
17000 139.231262595
18000 153.658762766
19000 138.461538462
20000 135.017623673
21000 121.348314607
22000 172.8
23000 180.564263323
24000 180.564263323
25000 180.564263323
26000 180.564263323
27000 201.015228426
28000 201.015228426
29000 201.015228426
30000 200.139505097
31000 200.705270656
32000 178.669482577
33000 204.87804878
34000 223.357664234
35000 223.357664234
36000 276.923076923
37000 276.923076923
38000 233.766233766
39000 276.923076923
40000 276.923076923
41000 262.713857149
42000 218.181818182
43000 218.181818182
44000 176.470588235
45000 185.977859779
46000 229.299363057
47000 229.299363057
48000 229.299363057
49000 229.299363057
50000 259.793814433
51000 259.793814433
52000 195.652173913
53000 195.652173913
54000 193.435741419
55000 243.243243243
56000 192.26861771
57000 182.608695652
58000 271.698113208
59000 259.459459459
60000 256.30177081
61000 259.459459459
62000 267.768595041
63000 259.793814433
64000 139.92851583
65000 137.402791434
66000 259.793814433
67000 123.31277091
68000 203.225806452
69000 203.225806452
70000 203.225806452
71000 203.225806452
72000 203.225806452
73000 148.760330579
74000 169.411764706
75000 178.021978022
76000 174.545454545
77000 174.545454545
78000 174.545454545
79000 174.545454545
