x y
0 0
1000 3.75
2000 43.9024390244
3000 87.8048780488
4000 127.433628319
5000 147.945205479
6000 348.48073431
7000 360.0
8000 180.0
9000 127.433628319
10000 209.908267495
11000 126.366164581
12000 102.541827569
13000 134.908446907
14000 168.330223881
15000 225.0
16000 77.2416073443
17000 92.9032258065
18000 98.9700193762
19000 114.285714286
20000 122.800718133
21000 62.1618023408
22000 38.4164319403
23000 42.0091324201
24000 34.8055372446
25000 38.1625441696
26000 38.1625441696
27000 38.1625441696
28000 11.8534778433
29000 23.6993227703
30000 84.3035714286
31000 116.129032258
32000 116.129032258
33000 124.567474048
34000 119.454566704
35000 124.567474048
36000 108.703374778
37000 108.703374778
38000 90.10107097
39000 65.1215375919
40000 65.1215375919
41000 61.7495711835
42000 61.7495711835
43000 57.1067263477
44000 44.2532267978
45000 43.2692307692
46000 50.0745156483
47000 58.5792718932
48000 42.7216429
49000 48.7034949267
50000 49.9207606973
51000 37.0483906284
52000 20.9324862711
53000 20.1892744479
54000 16.7898794759
55000 12.2509600548
56000 20.8574641312
57000 17.8660049628
58000 20.7837648705
59000 20.7837648705
60000 59.8734382606
61000 15.8299743496
62000 15.9096489074
63000 17.6710123804
64000 21.8071680969
65000 9.89711035033
66000 11.1963988111
67000 2.19623792578
68000 16.9565217391
69000 23.0127848805
70000 23.0127848805
71000 10.635155096
72000 20.4674668351
73000 22.954303932
74000 24.1183921072
75000 23.7292680963
76000 41.6141486776
77000 18.3336728458
78000 42.2922636103
79000 110.612559587
