x y
0 0
1000 200.0
2000 122.885093763
3000 181.552396579
4000 183.912574063
5000 360.0
6000 200.0
7000 200.0
8000 200.0
9000 213.003049672
10000 132.482592247
11000 72.60881974
12000 67.7115987461
13000 171.428571429
14000 200.0
15000 185.676687885
16000 200.0
17000 200.0
18000 25.8311408754
19000 42.8571428571
20000 42.8571428571
21000 20.3597717058
22000 112.31125194
23000 13.5849056604
24000 8.74635568513
25000 9.49450549451
26000 38.0952380952
27000 7.79944289694
28000 1.51834668916
29000 200.0
30000 42.8571428571
31000 136.468965517
32000 200.0
33000 200.0
34000 67.9245283019
35000 70.7865168539
36000 135.721858733
37000 360.0
38000 200.0
39000 200.0
40000 21.2765957447
41000 83.3683246151
42000 96.0556844548
43000 14.4314011052
44000 93.8775510204
45000 61.4906832298
46000 58.8517691933
47000 67.8073776484
48000 11.9213488371
49000 48.7574546874
50000 85.9809762761
51000 72.8261061759
52000 23.4273318872
53000 33.0121219265
54000 12.599975639
55000 6.38486550399
56000 6.38486550399
57000 5.17282669434
58000 6.38486550399
59000 17.8135788262
60000 17.8135788262
61000 3.99822301199
62000 3.99822301199
63000 0
64000 0
65000 0
66000 0
67000 0.258592824049
68000 0.258592824049
69000 0
70000 7.28376327769
71000 7.38198190166
72000 13.1121003642
73000 84.1803751914
74000 22.1178135889
75000 13.2841328413
76000 13.2841328413
77000 49.9316966597
78000 92.4393723252
79000 20.139498689
