x y
0 60.0
1000 87.0
2000 100.0
3000 101.0
4000 100.0
5000 100.0
6000 100.0
7000 102.0
8000 100.0
9000 102.0
10000 101.0
11000 100.0
12000 100.0
13000 100.0
14000 100.0
15000 100.0
16000 100.0
17000 100.0
18000 101.0
19000 100.0
20000 100.0
21000 92.0
22000 80.0
23000 68.0
24000 57.0
25000 46.0
26000 39.0
27000 27.0
28000 20.0
29000 14.0
30000 13.0
31000 16.0
32000 16.0
33000 14.0
34000 15.0
35000 13.0
36000 13.0
37000 17.0
38000 15.0
39000 18.0
40000 17.0
41000 16.0
42000 19.0
43000 15.0
44000 13.0
45000 18.0
46000 23.0
47000 19.0
48000 17.0
49000 19.0
50000 18.0
51000 14.0
52000 17.0
53000 19.0
54000 12.0
55000 16.0
56000 13.0
57000 15.0
58000 14.0
59000 15.0
60000 14.0
61000 12.0
62000 17.0
63000 15.0
64000 17.0
65000 17.0
66000 17.0
67000 17.0
68000 17.0
69000 17.0
70000 17.0
71000 18.0
72000 14.0
73000 21.0
74000 17.0
75000 16.0
76000 16.0
77000 17.0
78000 15.0
79000 13.0
