x y
0 473.387774847
1000 1163.840728
2000 1740.76843037
3000 1783.87882549
4000 1752.30103778
5000 1747.95752138
6000 1733.54693732
7000 1787.26269384
8000 1754.42025903
9000 1777.46981134
10000 1786.39875503
11000 1753.93481257
12000 1756.11991493
13000 1740.67175363
14000 1750.70280483
15000 1747.7641314
16000 1736.60130886
17000 1744.93157237
18000 1771.92955522
19000 1745.80221064
20000 1735.383485
21000 1492.99150245
22000 1053.10256387
23000 715.287173355
24000 450.294429587
25000 241.556101167
26000 145.66690702
27000 60.9566725386
28000 19.6428108542
29000 15.2729529668
30000 13.4170370844
31000 12.8386926005
32000 14.2170297825
33000 14.0874398737
34000 13.377004591
35000 13.6644791486
36000 11.9094385776
37000 15.666341125
38000 15.3401849198
39000 18.865508712
40000 11.8367119687
41000 13.7708673707
42000 12.889750915
43000 14.0469145042
44000 15.0202900667
45000 13.9349768622
46000 21.9247907558
47000 18.6071686093
48000 13.3887788538
49000 16.8400434461
50000 15.945692354
51000 11.4004983525
52000 15.3131862615
53000 15.373901297
54000 10.1439015708
55000 16.7863382043
56000 11.283704968
57000 14.9742152773
58000 11.8514799974
59000 13.9203366161
60000 11.9627969807
61000 10.0082693659
62000 13.1046266463
63000 10.1788410109
64000 11.5940526282
65000 12.5486441343
66000 13.0371756373
67000 12.942561678
68000 11.8846852438
69000 14.9647958671
70000 12.097461688
71000 13.8511514134
72000 13.4001697684
73000 21.1792152317
74000 18.4674473581
75000 13.8922609323
76000 11.9343196941
77000 13.5188798934
78000 11.1125674282
79000 12.4136143336
