x y
0 11.0
1000 43.0
2000 48.0
3000 52.0
4000 48.0
5000 48.0
6000 48.0
7000 48.0
8000 48.0
9000 49.0
10000 48.0
11000 49.0
12000 49.0
13000 48.0
14000 49.0
15000 48.0
16000 48.0
17000 49.0
18000 48.0
19000 13.0
20000 14.0
21000 15.0
22000 15.0
23000 13.0
24000 19.0
25000 14.0
26000 17.0
27000 13.0
28000 17.0
29000 14.0
30000 11.0
31000 12.0
32000 17.0
33000 16.0
34000 14.0
35000 17.0
36000 16.0
37000 13.0
38000 15.0
39000 13.0
40000 14.0
41000 18.0
42000 16.0
43000 15.0
44000 16.0
45000 14.0
46000 16.0
47000 15.0
48000 11.0
49000 18.0
50000 13.0
51000 13.0
52000 14.0
53000 17.0
54000 21.0
55000 13.0
56000 14.0
57000 18.0
58000 20.0
59000 14.0
60000 15.0
61000 16.0
62000 16.0
63000 17.0
64000 15.0
65000 12.0
66000 17.0
67000 18.0
68000 15.0
69000 16.0
70000 17.0
71000 10.0
72000 15.0
73000 13.0
74000 15.0
75000 11.0
76000 16.0
77000 9.0
78000 14.0
79000 17.0
