x y
0 7.56908869758
1000 178.709415335
2000 241.509712923
3000 279.144436178
4000 239.577874612
5000 235.671118669
6000 235.258109848
7000 234.682632468
8000 237.584227867
9000 238.353444102
10000 226.228882512
11000 246.926795857
12000 246.022319056
13000 231.682077444
14000 245.266163602
15000 237.252417898
16000 239.755505958
17000 246.730742433
18000 237.617623788
19000 9.8262656322
20000 11.8537570411
21000 18.2890376826
22000 9.48439437418
23000 9.70208193101
24000 19.2574721602
25000 12.0489602154
26000 15.7729833138
27000 12.7557539472
28000 13.1072613691
29000 11.8030254721
30000 8.05720291447
31000 9.61068008172
32000 13.8136772121
33000 14.7490700393
34000 10.9498943092
35000 13.7084588042
36000 14.9234657125
37000 14.3687485977
38000 10.609345662
39000 9.62385895301
40000 11.2617942632
41000 21.5807796318
42000 13.6761256953
43000 11.9003790697
44000 12.838228174
45000 10.4475856449
46000 13.7308487146
47000 11.9868211287
48000 7.15407234208
49000 21.1672748314
50000 10.3598209752
51000 10.9059411202
52000 10.3970902564
53000 15.5556972638
54000 22.4276283936
55000 12.7533449062
56000 9.25832240999
57000 16.9952881992
58000 17.3350574509
59000 11.8626374275
60000 13.6533342781
61000 11.4830009093
62000 16.90679137
63000 14.4349972249
64000 15.2908208453
65000 11.095121692
66000 13.129415099
67000 18.8636648126
68000 9.57872486154
69000 12.8914396382
70000 14.9553973146
71000 7.44686529446
72000 11.2368536035
73000 8.47347102656
74000 9.53033147932
75000 7.78349334561
76000 12.4377605366
77000 6.87741051712
78000 12.1778439083
79000 12.2821648304
