x y
0 3.0
1000 4.0
2000 4.0
3000 4.0
4000 5.0
5000 5.0
6000 5.0
7000 5.0
8000 4.0
9000 5.0
10000 4.0
11000 5.0
12000 5.0
13000 5.0
14000 6.0
15000 5.0
16000 5.0
17000 5.0
18000 5.0
19000 6.0
20000 6.0
21000 6.0
22000 6.0
23000 5.0
24000 5.0
25000 5.0
26000 6.0
27000 6.0
28000 5.0
29000 6.0
30000 5.0
31000 4.0
32000 4.0
33000 4.0
34000 4.0
35000 5.0
36000 4.0
37000 5.0
38000 4.0
39000 3.0
40000 3.0
41000 3.0
42000 5.0
43000 4.0
44000 4.0
45000 5.0
46000 4.0
47000 4.0
48000 4.0
49000 4.0
50000 4.0
51000 4.0
52000 4.0
53000 4.0
54000 4.0
55000 4.0
56000 4.0
57000 4.0
58000 4.0
59000 4.0
60000 4.0
61000 4.0
62000 4.0
63000 4.0
64000 4.0
65000 4.0
66000 4.0
67000 4.0
68000 4.0
69000 4.0
70000 4.0
71000 4.0
72000 4.0
73000 4.0
74000 5.0
75000 5.0
76000 5.0
77000 5.0
78000 5.0
79000 6.0
