x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 19.5
9000 19.0
10000 19.0
11000 17.0
12000 15.5
13000 15.5
14000 15.5
15000 15.5
16000 16.0
17000 16.0
18000 16.0
19000 16.0
20000 16.0
21000 16.0
22000 16.0
23000 16.0
24000 16.0
25000 16.0
26000 16.0
27000 16.0
28000 16.0
29000 15.5
30000 15.5
31000 15.5
32000 15.0
33000 15.0
34000 14.5
35000 13.5
36000 13.5
37000 13.5
38000 13.5
39000 13.5
40000 14.0
41000 14.0
42000 13.0
43000 11.5
44000 11.0
45000 10.5
46000 10.5
47000 10.5
48000 10.5
49000 10.5
50000 10.5
51000 10.5
52000 10.5
53000 11.0
54000 12.0
55000 11.5
56000 12.0
57000 11.5
58000 12.0
59000 12.0
60000 11.0
61000 11.0
62000 10.5
63000 10.5
64000 10.5
65000 10.5
66000 10.5
67000 10.5
68000 9.0
69000 8.5
70000 8.5
71000 8.0
72000 7.5
73000 7.0
74000 6.5
75000 7.0
76000 7.5
77000 7.5
78000 6.5
79000 5.0
