x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.0
9000 19.5
10000 19.5
11000 19.5
12000 19.5
13000 19.5
14000 19.5
15000 19.0
16000 19.0
17000 17.0
18000 14.5
19000 15.0
20000 15.0
21000 15.0
22000 15.0
23000 15.0
24000 15.0
25000 15.0
26000 15.0
27000 15.0
28000 15.0
29000 15.0
30000 15.0
31000 15.0
32000 14.0
33000 14.0
34000 13.5
35000 13.5
36000 13.5
37000 13.0
38000 12.5
39000 12.0
40000 12.0
41000 11.5
42000 11.5
43000 11.5
44000 11.5
45000 11.5
46000 11.5
47000 11.5
48000 11.5
49000 11.5
50000 11.5
51000 11.5
52000 11.5
53000 11.0
54000 10.5
55000 9.5
56000 7.5
57000 6.5
58000 5.5
59000 5.0
60000 5.0
61000 5.0
62000 4.5
63000 4.5
64000 4.5
65000 4.5
66000 4.5
67000 4.5
68000 4.5
69000 4.5
70000 4.5
71000 4.5
72000 4.5
73000 4.0
74000 3.5
75000 3.5
76000 3.5
77000 3.5
78000 3.5
79000 2.5
