x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 17.7272727273
9000 17.2727272727
10000 17.2727272727
11000 17.2727272727
12000 17.2727272727
13000 17.2727272727
14000 16.8181818182
15000 16.8181818182
16000 16.8181818182
17000 16.8181818182
18000 16.8181818182
19000 16.3636363636
20000 16.8181818182
21000 15.4545454545
22000 14.0909090909
23000 12.7272727273
24000 12.7272727273
25000 12.7272727273
26000 12.2727272727
27000 12.2727272727
28000 12.2727272727
29000 12.2727272727
30000 11.3636363636
31000 12.2727272727
32000 11.3636363636
33000 10.9090909091
34000 11.3636363636
35000 10.4545454545
36000 10.4545454545
37000 10.0
38000 10.0
39000 9.54545454545
40000 9.09090909091
41000 10.0
42000 9.54545454545
43000 10.0
44000 10.4545454545
45000 10.4545454545
46000 10.0
47000 10.4545454545
48000 10.9090909091
49000 10.9090909091
50000 10.4545454545
51000 10.0
52000 9.09090909091
53000 8.63636363636
54000 8.63636363636
55000 8.18181818182
56000 8.18181818182
57000 8.63636363636
58000 7.72727272727
59000 8.18181818182
60000 8.18181818182
61000 7.72727272727
62000 7.72727272727
63000 8.63636363636
64000 9.09090909091
65000 9.09090909091
66000 8.63636363636
67000 8.18181818182
68000 7.27272727273
69000 7.27272727273
70000 5.0
71000 4.09090909091
72000 4.09090909091
73000 4.09090909091
74000 4.54545454545
75000 5.45454545455
76000 5.90909090909
77000 5.0
78000 5.45454545455
79000 5.90909090909
