x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 22.0
7000 21.3333333333
8000 22.0
9000 22.0
10000 22.6666666667
11000 22.0
12000 22.0
13000 20.6666666667
14000 21.3333333333
15000 22.6666666667
16000 22.6666666667
17000 21.3333333333
18000 21.3333333333
19000 21.3333333333
20000 21.3333333333
21000 20.6666666667
22000 20.0
23000 19.3333333333
24000 18.6666666667
25000 18.6666666667
26000 18.6666666667
27000 18.6666666667
28000 18.6666666667
29000 18.0
30000 17.3333333333
31000 17.3333333333
32000 17.3333333333
33000 17.3333333333
34000 17.3333333333
35000 16.6666666667
36000 16.6666666667
37000 17.3333333333
38000 17.3333333333
39000 17.3333333333
40000 16.6666666667
41000 16.6666666667
42000 16.6666666667
43000 17.3333333333
44000 17.3333333333
45000 17.3333333333
46000 17.3333333333
47000 17.3333333333
48000 17.3333333333
49000 17.3333333333
50000 16.6666666667
51000 17.3333333333
52000 17.3333333333
53000 17.3333333333
54000 17.3333333333
55000 16.0
56000 16.0
57000 16.0
58000 16.0
59000 15.3333333333
60000 15.3333333333
61000 15.3333333333
62000 15.3333333333
63000 15.3333333333
64000 15.3333333333
65000 15.3333333333
66000 15.3333333333
67000 15.3333333333
68000 15.3333333333
69000 15.3333333333
70000 15.3333333333
71000 15.3333333333
72000 15.3333333333
73000 15.3333333333
74000 14.6666666667
75000 14.6666666667
76000 14.6666666667
77000 13.3333333333
78000 13.3333333333
79000 14.0
