x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 19.3333333333
7000 19.3333333333
8000 20.6666666667
9000 21.3333333333
10000 21.3333333333
11000 21.3333333333
12000 21.3333333333
13000 21.3333333333
14000 20.6666666667
15000 21.3333333333
16000 20.6666666667
17000 22.6666666667
18000 23.3333333333
19000 23.3333333333
20000 23.3333333333
21000 24.0
22000 24.0
23000 25.3333333333
24000 26.0
25000 26.0
26000 26.0
27000 25.3333333333
28000 25.3333333333
29000 25.3333333333
30000 26.0
31000 26.0
32000 26.0
33000 26.0
34000 26.6666666667
35000 26.0
36000 26.0
37000 26.0
38000 26.0
39000 26.0
40000 26.0
41000 24.6666666667
42000 23.3333333333
43000 22.6666666667
44000 23.3333333333
45000 24.0
46000 24.6666666667
47000 23.3333333333
48000 25.3333333333
49000 26.6666666667
50000 26.6666666667
51000 26.6666666667
52000 27.3333333333
53000 28.0
54000 27.3333333333
55000 26.6666666667
56000 26.0
57000 26.0
58000 26.0
59000 26.0
60000 26.0
61000 25.3333333333
62000 25.3333333333
63000 25.3333333333
64000 26.0
65000 26.6666666667
66000 26.6666666667
67000 26.6666666667
68000 26.6666666667
69000 26.6666666667
70000 24.6666666667
71000 24.6666666667
72000 24.0
73000 24.6666666667
74000 24.6666666667
75000 25.3333333333
76000 25.3333333333
77000 27.3333333333
78000 28.0
79000 28.6666666667
