x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 19.3333333333
8000 19.3333333333
9000 18.6666666667
10000 18.6666666667
11000 18.6666666667
12000 18.6666666667
13000 18.0
14000 17.3333333333
15000 17.3333333333
16000 16.6666666667
17000 16.0
18000 16.6666666667
19000 16.6666666667
20000 16.0
21000 14.6666666667
22000 15.3333333333
23000 15.3333333333
24000 13.3333333333
25000 13.3333333333
26000 13.3333333333
27000 14.0
28000 14.0
29000 14.0
30000 14.6666666667
31000 14.0
32000 14.0
33000 14.0
34000 12.6666666667
35000 12.6666666667
36000 12.6666666667
37000 12.6666666667
38000 12.6666666667
39000 13.3333333333
40000 13.3333333333
41000 14.0
42000 14.6666666667
43000 14.6666666667
44000 14.0
45000 14.0
46000 14.0
47000 14.0
48000 14.0
49000 14.0
50000 13.3333333333
51000 12.6666666667
52000 12.6666666667
53000 12.0
54000 12.0
55000 12.0
56000 12.0
57000 12.6666666667
58000 12.6666666667
59000 12.6666666667
60000 12.6666666667
61000 12.6666666667
62000 13.3333333333
63000 14.0
64000 14.0
65000 14.0
66000 14.6666666667
67000 14.6666666667
68000 14.6666666667
69000 14.6666666667
70000 15.3333333333
71000 16.0
72000 16.0
73000 16.0
74000 16.0
75000 16.0
76000 16.0
77000 15.3333333333
78000 15.3333333333
79000 15.3333333333
