x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.0
9000 19.0
10000 19.0
11000 19.0
12000 20.0
13000 20.0
14000 20.0
15000 20.0
16000 20.0
17000 20.0
18000 20.0
19000 20.0
20000 20.0
21000 20.0
22000 20.0
23000 20.0
24000 20.0
25000 20.0
26000 20.0
27000 19.5
28000 19.5
29000 20.0
30000 19.0
31000 19.0
32000 19.0
33000 19.0
34000 19.5
35000 19.5
36000 18.0
37000 16.5
38000 16.5
39000 16.5
40000 16.5
41000 16.5
42000 16.5
43000 16.5
44000 16.5
45000 15.5
46000 15.0
47000 15.0
48000 14.5
49000 14.5
50000 14.5
51000 14.0
52000 13.5
53000 13.5
54000 13.5
55000 13.0
56000 13.0
57000 13.0
58000 13.0
59000 13.5
60000 13.0
61000 12.5
62000 12.0
63000 11.5
64000 11.0
65000 11.0
66000 10.5
67000 10.0
68000 10.0
69000 10.0
70000 9.0
71000 8.5
72000 8.0
73000 7.5
74000 7.0
75000 7.0
76000 6.0
77000 6.0
78000 6.0
79000 6.0
