x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 19.5454545455
8000 21.3636363636
9000 20.9090909091
10000 21.3636363636
11000 21.8181818182
12000 21.8181818182
13000 21.8181818182
14000 21.8181818182
15000 21.8181818182
16000 21.8181818182
17000 21.8181818182
18000 22.2727272727
19000 21.8181818182
20000 20.4545454545
21000 20.9090909091
22000 23.1818181818
23000 24.0909090909
24000 24.0909090909
25000 24.0909090909
26000 23.6363636364
27000 23.6363636364
28000 23.1818181818
29000 22.7272727273
30000 23.1818181818
31000 23.6363636364
32000 24.0909090909
33000 23.6363636364
34000 22.7272727273
35000 23.1818181818
36000 24.0909090909
37000 24.0909090909
38000 23.1818181818
39000 22.2727272727
40000 21.8181818182
41000 20.4545454545
42000 20.9090909091
43000 22.2727272727
44000 20.9090909091
45000 20.0
46000 19.5454545455
47000 18.6363636364
48000 17.7272727273
49000 16.8181818182
50000 15.9090909091
51000 15.4545454545
52000 15.4545454545
53000 14.0909090909
54000 13.6363636364
55000 13.1818181818
56000 13.1818181818
57000 13.1818181818
58000 13.6363636364
59000 13.1818181818
60000 12.7272727273
61000 11.3636363636
62000 10.9090909091
63000 10.0
64000 9.54545454545
65000 9.09090909091
66000 8.63636363636
67000 8.18181818182
68000 8.18181818182
69000 8.18181818182
70000 7.27272727273
71000 8.18181818182
72000 8.63636363636
73000 8.18181818182
74000 7.72727272727
75000 7.27272727273
76000 6.36363636364
77000 5.45454545455
78000 5.0
79000 4.54545454545
