x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 18.6666666667
7000 17.3333333333
8000 18.0
9000 18.0
10000 16.6666666667
11000 16.0
12000 15.3333333333
13000 16.0
14000 16.0
15000 16.0
16000 17.3333333333
17000 15.3333333333
18000 15.3333333333
19000 16.0
20000 15.3333333333
21000 15.3333333333
22000 14.6666666667
23000 14.6666666667
24000 13.3333333333
25000 13.3333333333
26000 12.0
27000 12.0
28000 11.3333333333
29000 10.6666666667
30000 11.3333333333
31000 11.3333333333
32000 11.3333333333
33000 11.3333333333
34000 10.6666666667
35000 11.3333333333
36000 11.3333333333
37000 11.3333333333
38000 10.6666666667
39000 10.0
40000 12.0
41000 12.0
42000 12.6666666667
43000 13.3333333333
44000 13.3333333333
45000 13.3333333333
46000 12.6666666667
47000 12.0
48000 12.0
49000 12.0
50000 12.0
51000 12.0
52000 11.3333333333
53000 11.3333333333
54000 11.3333333333
55000 11.3333333333
56000 11.3333333333
57000 11.3333333333
58000 11.3333333333
59000 11.3333333333
60000 11.3333333333
61000 11.3333333333
62000 11.3333333333
63000 11.3333333333
64000 11.3333333333
65000 11.3333333333
66000 11.3333333333
67000 11.3333333333
68000 11.3333333333
69000 11.3333333333
70000 11.3333333333
71000 11.3333333333
72000 11.3333333333
73000 11.3333333333
74000 10.6666666667
75000 10.6666666667
76000 10.6666666667
77000 10.6666666667
78000 10.6666666667
79000 10.6666666667
