x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.0
9000 20.0
10000 20.0
11000 19.5
12000 19.0
13000 17.0
14000 16.5
15000 16.5
16000 16.5
17000 16.5
18000 16.5
19000 16.5
20000 16.5
21000 16.5
22000 16.5
23000 16.5
24000 16.5
25000 16.5
26000 16.5
27000 17.5
28000 18.0
29000 18.5
30000 19.0
31000 19.0
32000 20.0
33000 21.0
34000 21.5
35000 22.0
36000 24.5
37000 26.5
38000 28.0
39000 27.5
40000 27.0
41000 27.5
42000 29.5
43000 32.0
44000 32.5
45000 33.5
46000 33.0
47000 33.5
48000 34.0
49000 33.5
50000 34.0
51000 36.0
52000 37.0
53000 38.0
54000 41.5
55000 43.5
56000 44.0
57000 45.5
58000 45.0
59000 44.5
60000 45.5
61000 47.0
62000 47.5
63000 49.0
64000 49.0
65000 46.5
66000 46.0
67000 44.5
68000 45.5
69000 45.0
70000 45.5
71000 50.0
72000 51.5
73000 52.5
74000 53.5
75000 57.0
76000 59.0
77000 59.0
78000 59.0
79000 61.5
