x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.0
9000 21.5
10000 22.0
11000 23.0
12000 23.0
13000 23.5
14000 24.0
15000 24.0
16000 27.0
17000 35.0
18000 42.0
19000 46.0
20000 45.5
21000 46.0
22000 46.0
23000 47.5
24000 48.0
25000 49.5
26000 51.5
27000 51.0
28000 50.5
29000 48.5
30000 48.0
31000 48.5
32000 50.0
33000 47.5
34000 49.0
35000 50.5
36000 48.5
37000 46.0
38000 45.0
39000 45.0
40000 46.5
41000 49.5
42000 48.5
43000 46.5
44000 44.0
45000 41.5
46000 38.0
47000 36.5
48000 35.5
49000 36.5
50000 34.5
51000 33.5
52000 33.0
53000 33.0
54000 34.5
55000 36.5
56000 37.5
57000 38.5
58000 40.5
59000 40.5
60000 39.0
61000 39.5
62000 40.5
63000 41.5
64000 41.0
65000 43.0
66000 46.0
67000 50.0
68000 53.5
69000 54.5
70000 51.5
71000 53.0
72000 53.5
73000 52.0
74000 51.5
75000 50.0
76000 51.5
77000 54.0
78000 53.0
79000 53.5
