x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 19.5454545455
7000 19.5454545455
8000 19.5454545455
9000 18.1818181818
10000 17.7272727273
11000 17.7272727273
12000 17.7272727273
13000 17.7272727273
14000 17.7272727273
15000 17.7272727273
16000 17.7272727273
17000 17.7272727273
18000 17.7272727273
19000 18.1818181818
20000 19.0909090909
21000 19.0909090909
22000 19.0909090909
23000 19.0909090909
24000 20.0
25000 20.9090909091
26000 22.2727272727
27000 22.7272727273
28000 23.1818181818
29000 24.5454545455
30000 24.0909090909
31000 23.6363636364
32000 24.5454545455
33000 27.2727272727
34000 28.1818181818
35000 30.0
36000 30.9090909091
37000 31.8181818182
38000 32.7272727273
39000 34.5454545455
40000 35.9090909091
41000 34.5454545455
42000 34.5454545455
43000 33.1818181818
44000 34.0909090909
45000 35.4545454545
46000 36.8181818182
47000 36.8181818182
48000 37.7272727273
49000 38.6363636364
50000 38.6363636364
51000 39.5454545455
52000 41.3636363636
53000 43.1818181818
54000 43.1818181818
55000 43.1818181818
56000 44.0909090909
57000 44.0909090909
58000 43.6363636364
59000 44.5454545455
60000 45.9090909091
61000 48.6363636364
62000 50.4545454545
63000 50.4545454545
64000 50.9090909091
65000 53.1818181818
66000 53.1818181818
67000 55.0
68000 55.0
69000 54.5454545455
70000 56.8181818182
71000 58.1818181818
72000 58.6363636364
73000 60.4545454545
74000 60.9090909091
75000 59.0909090909
76000 60.9090909091
77000 64.0909090909
78000 61.8181818182
79000 61.8181818182
