x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 25.3333333333
7000 31.3333333333
8000 34.6666666667
9000 35.3333333333
10000 35.3333333333
11000 37.3333333333
12000 38.6666666667
13000 41.3333333333
14000 41.3333333333
15000 42.0
16000 42.0
17000 43.3333333333
18000 44.6666666667
19000 44.6666666667
20000 44.0
21000 44.0
22000 44.6666666667
23000 46.0
24000 45.3333333333
25000 46.0
26000 46.6666666667
27000 47.3333333333
28000 46.6666666667
29000 48.6666666667
30000 48.6666666667
31000 49.3333333333
32000 50.6666666667
33000 51.3333333333
34000 50.0
35000 50.6666666667
36000 51.3333333333
37000 51.3333333333
38000 51.3333333333
39000 53.3333333333
40000 54.6666666667
41000 55.3333333333
42000 52.6666666667
43000 50.6666666667
44000 51.3333333333
45000 51.3333333333
46000 52.0
47000 52.0
48000 52.6666666667
49000 53.3333333333
50000 54.6666666667
51000 56.0
52000 56.0
53000 55.3333333333
54000 54.0
55000 54.0
56000 54.0
57000 52.6666666667
58000 52.6666666667
59000 52.0
60000 52.0
61000 52.0
62000 52.0
63000 51.3333333333
64000 51.3333333333
65000 51.3333333333
66000 51.3333333333
67000 51.3333333333
68000 51.3333333333
69000 51.3333333333
70000 52.0
71000 51.3333333333
72000 51.3333333333
73000 52.6666666667
74000 52.6666666667
75000 52.6666666667
76000 52.6666666667
77000 55.3333333333
78000 54.6666666667
79000 54.0
