x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.6666666667
9000 20.0
10000 20.0
11000 20.0
12000 18.0
13000 17.3333333333
14000 16.6666666667
15000 16.6666666667
16000 16.6666666667
17000 16.6666666667
18000 16.0
19000 16.0
20000 16.6666666667
21000 18.0
22000 18.0
23000 17.3333333333
24000 16.0
25000 16.0
26000 16.0
27000 15.3333333333
28000 15.3333333333
29000 15.3333333333
30000 16.0
31000 16.0
32000 17.3333333333
33000 17.3333333333
34000 16.0
35000 15.3333333333
36000 16.0
37000 16.0
38000 16.0
39000 15.3333333333
40000 15.3333333333
41000 17.3333333333
42000 19.3333333333
43000 19.3333333333
44000 18.6666666667
45000 18.0
46000 18.0
47000 18.0
48000 18.0
49000 17.3333333333
50000 17.3333333333
51000 16.6666666667
52000 15.3333333333
53000 15.3333333333
54000 17.3333333333
55000 18.6666666667
56000 20.0
57000 20.0
58000 21.3333333333
59000 21.3333333333
60000 21.3333333333
61000 22.0
62000 22.0
63000 22.0
64000 22.6666666667
65000 22.6666666667
66000 22.6666666667
67000 22.6666666667
68000 22.6666666667
69000 22.6666666667
70000 24.0
71000 24.0
72000 24.6666666667
73000 24.0
74000 24.0
75000 24.0
76000 24.0
77000 23.3333333333
78000 22.6666666667
79000 22.0
