x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.0
9000 20.0
10000 20.6666666667
11000 20.0
12000 18.6666666667
13000 18.0
14000 18.0
15000 18.0
16000 18.0
17000 19.3333333333
18000 19.3333333333
19000 19.3333333333
20000 19.3333333333
21000 20.6666666667
22000 20.6666666667
23000 21.3333333333
24000 21.3333333333
25000 23.3333333333
26000 24.0
27000 23.3333333333
28000 24.0
29000 24.0
30000 22.6666666667
31000 22.0
32000 22.0
33000 22.0
34000 24.0
35000 24.0
36000 24.0
37000 24.0
38000 24.0
39000 23.3333333333
40000 23.3333333333
41000 23.3333333333
42000 24.6666666667
43000 24.6666666667
44000 26.0
45000 25.3333333333
46000 26.6666666667
47000 27.3333333333
48000 27.3333333333
49000 27.3333333333
50000 27.3333333333
51000 26.6666666667
52000 26.6666666667
53000 27.3333333333
54000 28.0
55000 28.6666666667
56000 28.6666666667
57000 28.0
58000 28.6666666667
59000 28.6666666667
60000 28.0
61000 27.3333333333
62000 27.3333333333
63000 26.6666666667
64000 26.6666666667
65000 26.6666666667
66000 26.0
67000 26.0
68000 26.0
69000 26.0
70000 26.6666666667
71000 26.0
72000 26.0
73000 26.0
74000 26.0
75000 26.0
76000 26.0
77000 25.3333333333
78000 26.0
79000 26.0
