x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.0
9000 18.5
10000 18.5
11000 18.0
12000 17.5
13000 16.5
14000 17.0
15000 16.5
16000 16.5
17000 16.0
18000 16.0
19000 15.5
20000 15.5
21000 15.5
22000 15.5
23000 15.5
24000 15.5
25000 15.5
26000 15.5
27000 15.5
28000 15.5
29000 15.5
30000 15.0
31000 15.0
32000 15.0
33000 14.5
34000 14.5
35000 14.5
36000 14.5
37000 14.5
38000 14.5
39000 14.5
40000 14.5
41000 14.5
42000 13.5
43000 13.5
44000 13.0
45000 13.0
46000 13.0
47000 13.0
48000 13.0
49000 13.0
50000 13.0
51000 13.0
52000 12.5
53000 12.5
54000 12.5
55000 12.5
56000 12.5
57000 12.5
58000 12.5
59000 12.5
60000 12.5
61000 12.5
62000 12.5
63000 12.5
64000 12.5
65000 12.5
66000 12.0
67000 12.0
68000 12.0
69000 12.0
70000 12.0
71000 11.5
72000 11.5
73000 11.5
74000 11.0
75000 9.5
76000 8.5
77000 7.5
78000 7.5
79000 7.0
