x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 17.3333333333
7000 16.0
8000 13.3333333333
9000 12.6666666667
10000 12.6666666667
11000 12.6666666667
12000 11.3333333333
13000 11.3333333333
14000 11.3333333333
15000 10.0
16000 10.0
17000 10.0
18000 10.0
19000 10.6666666667
20000 10.6666666667
21000 11.3333333333
22000 11.3333333333
23000 10.6666666667
24000 10.6666666667
25000 10.0
26000 10.0
27000 9.33333333333
28000 9.33333333333
29000 8.66666666667
30000 8.66666666667
31000 8.66666666667
32000 8.0
33000 8.0
34000 8.66666666667
35000 8.66666666667
36000 8.66666666667
37000 8.66666666667
38000 8.66666666667
39000 8.0
40000 7.33333333333
41000 6.66666666667
42000 6.0
43000 6.0
44000 6.0
45000 6.0
46000 6.0
47000 6.0
48000 6.0
49000 6.0
50000 6.0
51000 6.0
52000 6.0
53000 6.0
54000 6.0
55000 6.0
56000 6.0
57000 6.0
58000 6.0
59000 6.0
60000 6.0
61000 6.0
62000 6.0
63000 6.0
64000 6.0
65000 6.0
66000 6.0
67000 6.0
68000 6.0
69000 6.0
70000 6.0
71000 6.0
72000 6.0
73000 6.0
74000 6.0
75000 6.0
76000 6.0
77000 6.0
78000 6.0
79000 6.0
