x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 19.3333333333
8000 19.3333333333
9000 19.3333333333
10000 18.6666666667
11000 17.3333333333
12000 17.3333333333
13000 17.3333333333
14000 17.3333333333
15000 17.3333333333
16000 17.3333333333
17000 17.3333333333
18000 18.0
19000 18.0
20000 17.3333333333
21000 16.6666666667
22000 16.6666666667
23000 16.6666666667
24000 16.6666666667
25000 16.0
26000 16.0
27000 16.0
28000 15.3333333333
29000 15.3333333333
30000 16.6666666667
31000 18.0
32000 18.0
33000 18.0
34000 18.6666666667
35000 18.6666666667
36000 19.3333333333
37000 19.3333333333
38000 19.3333333333
39000 19.3333333333
40000 19.3333333333
41000 20.0
42000 20.0
43000 20.0
44000 20.0
45000 20.0
46000 20.6666666667
47000 20.6666666667
48000 20.0
49000 20.0
50000 20.0
51000 20.0
52000 20.0
53000 20.0
54000 20.0
55000 18.6666666667
56000 17.3333333333
57000 17.3333333333
58000 17.3333333333
59000 17.3333333333
60000 18.0
61000 17.3333333333
62000 16.6666666667
63000 16.6666666667
64000 16.6666666667
65000 16.0
66000 16.0
67000 16.0
68000 16.0
69000 16.0
70000 15.3333333333
71000 15.3333333333
72000 15.3333333333
73000 15.3333333333
74000 15.3333333333
75000 15.3333333333
76000 15.3333333333
77000 16.6666666667
78000 16.6666666667
79000 16.0
