x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 20.5
9000 21.0
10000 21.5
11000 21.5
12000 21.5
13000 21.5
14000 24.0
15000 24.0
16000 24.0
17000 24.5
18000 26.5
19000 26.0
20000 26.0
21000 26.5
22000 26.5
23000 26.5
24000 26.5
25000 26.5
26000 26.5
27000 26.5
28000 26.5
29000 27.0
30000 25.5
31000 25.0
32000 25.5
33000 25.5
34000 25.5
35000 26.5
36000 28.0
37000 30.5
38000 33.0
39000 27.0
40000 24.0
41000 24.0
42000 23.5
43000 22.5
44000 26.0
45000 24.0
46000 25.5
47000 32.5
48000 32.0
49000 34.5
50000 36.5
51000 35.5
52000 36.5
53000 34.0
54000 28.5
55000 29.5
56000 27.5
57000 24.5
58000 22.5
59000 24.5
60000 23.5
61000 28.5
62000 28.5
63000 30.0
64000 33.0
65000 35.0
66000 39.5
67000 41.5
68000 41.5
69000 41.5
70000 44.5
71000 42.5
72000 41.5
73000 39.0
74000 37.0
75000 36.5
76000 39.0
77000 39.5
78000 40.0
79000 42.0
