x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.4545454545
7000 20.9090909091
8000 22.7272727273
9000 25.4545454545
10000 26.3636363636
11000 25.9090909091
12000 25.9090909091
13000 25.9090909091
14000 26.3636363636
15000 26.3636363636
16000 26.3636363636
17000 26.3636363636
18000 26.3636363636
19000 25.0
20000 25.4545454545
21000 25.4545454545
22000 25.4545454545
23000 26.3636363636
24000 25.4545454545
25000 25.0
26000 25.0
27000 24.5454545455
28000 24.5454545455
29000 23.6363636364
30000 24.0909090909
31000 24.0909090909
32000 24.0909090909
33000 23.1818181818
34000 22.2727272727
35000 21.8181818182
36000 20.4545454545
37000 20.0
38000 20.0
39000 19.5454545455
40000 19.0909090909
41000 20.9090909091
42000 21.3636363636
43000 20.9090909091
44000 20.9090909091
45000 20.4545454545
46000 20.0
47000 20.4545454545
48000 20.0
49000 20.0
50000 20.9090909091
51000 20.9090909091
52000 20.0
53000 19.0909090909
54000 19.0909090909
55000 19.5454545455
56000 18.6363636364
57000 18.6363636364
58000 19.0909090909
59000 18.1818181818
60000 18.1818181818
61000 18.1818181818
62000 17.7272727273
63000 17.7272727273
64000 17.2727272727
65000 15.9090909091
66000 16.8181818182
67000 16.8181818182
68000 18.1818181818
69000 18.6363636364
70000 19.5454545455
71000 18.6363636364
72000 17.7272727273
73000 16.3636363636
74000 15.4545454545
75000 16.8181818182
76000 15.4545454545
77000 15.0
78000 17.2727272727
79000 17.7272727273
