x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 16.6666666667
7000 14.0
8000 12.6666666667
9000 12.6666666667
10000 12.0
11000 12.0
12000 12.6666666667
13000 11.3333333333
14000 10.6666666667
15000 10.6666666667
16000 10.6666666667
17000 10.6666666667
18000 9.33333333333
19000 9.33333333333
20000 10.0
21000 10.0
22000 10.6666666667
23000 10.6666666667
24000 11.3333333333
25000 11.3333333333
26000 11.3333333333
27000 11.3333333333
28000 11.3333333333
29000 10.6666666667
30000 10.6666666667
31000 10.0
32000 10.0
33000 10.0
34000 10.6666666667
35000 10.6666666667
36000 9.33333333333
37000 9.33333333333
38000 10.0
39000 10.0
40000 10.0
41000 10.0
42000 12.6666666667
43000 14.0
44000 14.6666666667
45000 14.6666666667
46000 14.0
47000 14.0
48000 13.3333333333
49000 12.6666666667
50000 13.3333333333
51000 11.3333333333
52000 11.3333333333
53000 12.0
54000 13.3333333333
55000 15.3333333333
56000 15.3333333333
57000 16.6666666667
58000 16.6666666667
59000 18.0
60000 18.0
61000 18.0
62000 18.0
63000 18.6666666667
64000 18.6666666667
65000 18.6666666667
66000 18.6666666667
67000 18.6666666667
68000 18.6666666667
69000 18.6666666667
70000 18.0
71000 18.6666666667
72000 18.6666666667
73000 17.3333333333
74000 18.0
75000 18.0
76000 18.0
77000 16.6666666667
78000 17.3333333333
79000 17.3333333333
