x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 19.3333333333
8000 19.3333333333
9000 19.3333333333
10000 20.0
11000 20.0
12000 21.3333333333
13000 22.0
14000 24.6666666667
15000 25.3333333333
16000 26.6666666667
17000 25.3333333333
18000 26.6666666667
19000 27.3333333333
20000 26.6666666667
21000 26.6666666667
22000 26.6666666667
23000 26.6666666667
24000 26.0
25000 26.0
26000 26.0
27000 26.6666666667
28000 26.6666666667
29000 26.0
30000 24.6666666667
31000 24.6666666667
32000 24.6666666667
33000 24.6666666667
34000 24.0
35000 24.0
36000 23.3333333333
37000 23.3333333333
38000 23.3333333333
39000 24.0
40000 24.0
41000 23.3333333333
42000 24.6666666667
43000 25.3333333333
44000 25.3333333333
45000 25.3333333333
46000 24.6666666667
47000 25.3333333333
48000 24.0
49000 24.0
50000 23.3333333333
51000 23.3333333333
52000 24.0
53000 24.6666666667
54000 24.6666666667
55000 23.3333333333
56000 22.6666666667
57000 22.6666666667
58000 22.0
59000 22.0
60000 22.0
61000 22.0
62000 22.0
63000 22.0
64000 22.0
65000 22.0
66000 22.0
67000 21.3333333333
68000 21.3333333333
69000 21.3333333333
70000 21.3333333333
71000 21.3333333333
72000 21.3333333333
73000 21.3333333333
74000 21.3333333333
75000 21.3333333333
76000 21.3333333333
77000 20.6666666667
78000 21.3333333333
79000 21.3333333333
