x y
0 0
1000 0.0
2000 0.0737520741039
3000 0.166666666667
4000 0.166666666667
5000 0.125
6000 0.125
7000 0.125
8000 0.125
9000 0.111111111111
10000 0.0769230769231
11000 0.125
12000 0.125
13000 0.125
14000 0.125
15000 0.125
16000 0.09375
17000 0.125
18000 0.230769230769
19000 0.36
20000 0.288102693056
21000 0.321525370843
22000 0.265690011252
23000 0.295533155226
24000 0.2
25000 0.2
26000 0.26
27000 0.26
28000 0.26
29000 0.278787878788
30000 0.278787878788
31000 0.278787878788
32000 0.278787878788
33000 0.278787878788
34000 0.243421052632
35000 0.243421052632
36000 0.243421052632
37000 0.243421052632
38000 0.243421052632
39000 0.237179487179
40000 0
41000 0
42000 0
43000 0
44000 0
45000 0.0
46000 0.0
47000 0.0
48000 0.0
49000 0.0
50000 0.0
51000 0.0
52000 0.0
53000 0
54000 0
55000 0
56000 0
57000 0
58000 0
59000 0
60000 0
61000 0.0
62000 0.0
63000 0.0
64000 0.0
65000 0.0
66000 0.0
67000 0.0
68000 0.0
69000 0.0
70000 0.0
71000 0.0
72000 0.0
73000 0.0
74000 0.0
75000 0.0
76000 0.0
77000 0.0
78000 0.0
79000 0.0
