x y
0 0
1000 37.9290637406
2000 28.245363766
3000 22.641509434
4000 23.5872235872
5000 23.5872235872
6000 21.2467724087
7000 21.2467724087
8000 21.2319790301
9000 24.0552995392
10000 16.4065736777
11000 16.4065736777
12000 43.2
13000 43.2
14000 43.2
15000 43.2
16000 43.2
17000 21.2162022642
18000 24.2194238399
19000 22.8448347179
20000 16.8442942553
21000 18.645292642
22000 18.8932466368
23000 19.6787020349
24000 29.9613427901
25000 43.2
26000 43.2
27000 43.2
28000 27.285646613
29000 24.5814977974
30000 24.5814977974
31000 17.4474959612
32000 17.4474959612
33000 17.4474959612
34000 17.4474959612
35000 16.2754303599
36000 16.2754303599
37000 15.9477733737
38000 15.9477733737
39000 15.9477733737
40000 15.9477733737
41000 20.1422747982
42000 20.1422747982
43000 20.1422747982
44000 20.1633605601
45000 20.1422747982
46000 19.7009403422
47000 19.3193717277
48000 19.3193717277
49000 19.3193717277
50000 19.3193717277
51000 8.30982303155
52000 15.9644153257
53000 17.0188625727
54000 17.0188625727
55000 17.0188625727
56000 17.0188625727
57000 10.4416252617
58000 10.4416252617
59000 10.4416252617
60000 10.4416252617
61000 9.375
62000 9.375
63000 9.375
64000 9.375
65000 9.375
66000 7.46426103088
67000 7.46426103088
68000 7.46426103088
69000 5.7919556172
70000 9.375
71000 9.375
72000 9.375
73000 9.375
74000 9.375
75000 5.7919556172
76000 9.375
77000 9.375
78000 9.375
79000 9.375
