x y
0 0
1000 205.714285714
2000 47.5656821537
3000 63.5264555416
4000 50.9803785632
5000 48.4848484848
6000 64.8979591837
7000 63.1766805473
8000 63.1766805473
9000 49.553774013
10000 49.553774013
11000 49.553774013
12000 71.9060523939
13000 71.9060523939
14000 71.9060523939
15000 71.9060523939
16000 65.9477008949
17000 156.840029579
18000 86.6044693336
19000 62.0021528525
20000 62.0021528525
21000 80.2934854379
22000 59.1726617187
23000 53.6197232532
24000 57.1392261722
25000 57.3768443611
26000 81.0263335584
27000 81.0263335584
28000 81.0263335584
29000 58.4360189573
30000 154.002254791
31000 154.002254791
32000 154.002254791
33000 65.004717296
34000 37.5
35000 30.0
36000 30.3215926493
37000 33.4389073019
38000 32.2888849974
39000 33.2322891055
40000 46.2291435037
41000 52.3349306817
42000 26.3512681799
43000 25.2010424172
44000 28.3624085537
45000 28.3624085537
46000 50.5617977528
47000 50.5617977528
48000 50.5617977528
49000 42.1307604129
50000 50.5617977528
51000 50.5617977528
52000 50.5617977528
53000 40.1486988848
54000 29.7472270154
55000 27.1701281349
56000 43.0581319977
57000 42.8562871029
58000 36.1248214891
59000 34.798462736
60000 43.4596561557
61000 37.8585086042
62000 85.4439824328
63000 36.8938593342
64000 40.3820051205
65000 36.6940884633
66000 26.164661027
67000 26.164661027
68000 24.5210727969
69000 24.5210727969
70000 31.0010764263
71000 31.0010764263
72000 31.0010764263
73000 28.4688124279
74000 25.9786809321
75000 41.6411836139
76000 91.689552688
77000 91.689552688
78000 91.689552688
79000 91.689552688
