x y
0 0
1000 79.1208791209
2000 36.6101694915
3000 46.0141271443
4000 51.0396975425
5000 51.0396975425
6000 348.387096774
7000 83.4117400516
8000 57.9399141631
9000 348.387096774
10000 348.387096774
11000 78.2526115859
12000 87.5131132875
13000 241.687703988
14000 262.480062465
15000 304.327264734
16000 311.59309139
17000 331.65599894
18000 272.234775369
19000 174.008071845
20000 97.312007689
21000 319.830969166
22000 141.948778938
23000 136.077632613
24000 196.385977111
25000 143.553887065
26000 317.118324478
27000 254.644452832
28000 304.219333449
29000 277.809869661
30000 322.928237005
31000 322.503621832
32000 328.954271434
33000 346.400668019
34000 142.404817669
35000 143.086021752
36000 277.53173354
37000 144.0
38000 144.0
39000 144.0
40000 144.070880905
41000 146.671427427
42000 138.125818901
43000 142.199278467
44000 139.447383499
45000 137.537174407
46000 139.743828653
47000 138.84955877
48000 143.519721435
49000 98.8417946965
50000 114.4143607
51000 99.1180449496
52000 109.911589302
53000 95.6874269431
54000 95.8987581937
55000 135.888955031
56000 93.4746823735
57000 95.4649047673
58000 92.6846659667
59000 84.2525180128
60000 91.3503335482
61000 92.9235756922
62000 77.3644160318
63000 65.2690848517
64000 75.3049555073
65000 75.333081084
66000 79.2134831461
67000 76.4494006485
68000 68.621118847
69000 67.1953466539
70000 70.6022509468
71000 75.2409965346
72000 65.729346182
73000 67.7527503382
74000 67.1924287197
75000 59.124201244
76000 50.2193783771
77000 45.6193726658
78000 43.3745227639
79000 39.1188455228
