x y
0 0
1000 51.4285714286
2000 51.4285714286
3000 51.4285714286
4000 50.4018667358
5000 41.7391304348
6000 41.0204923035
7000 71.1073860716
8000 72.0
9000 304.005281921
10000 338.763474322
11000 284.44687194
12000 197.012702487
13000 133.60490689
14000 141.526011579
15000 110.419975148
16000 149.730243064
17000 141.37986335
18000 134.855114813
19000 139.098447022
20000 129.314880851
21000 140.362168258
22000 137.249648032
23000 134.846830594
24000 262.673430053
25000 211.625593372
26000 214.785287457
27000 222.570520579
28000 213.258409571
29000 205.980816446
30000 209.525804073
31000 211.879730492
32000 207.282548303
33000 207.772734118
34000 206.9603921
35000 208.450704225
36000 214.03257786
37000 192.959132782
38000 199.340838571
39000 207.880092149
40000 208.034252102
41000 212.050156205
42000 207.016261134
43000 193.740870881
44000 201.824397219
45000 219.778216124
46000 199.404819756
47000 211.888477609
48000 206.09684738
49000 220.812659475
50000 199.949785994
51000 200.0
52000 171.079483592
53000 177.148118186
54000 149.403939388
55000 179.401985852
56000 153.215045609
57000 179.492003763
58000 179.492003763
59000 179.492003763
60000 179.492003763
61000 153.010712922
62000 179.492003763
63000 114.035087719
64000 111.71082664
65000 110.54034847
66000 107.684518233
67000 223.100619187
68000 186.723225319
69000 199.468581312
70000 159.6308861
71000 211.764705882
72000 211.764705882
73000 211.764705882
74000 211.764705882
75000 211.764705882
76000 211.764705882
77000 211.764705882
78000 131.268838639
79000 131.268838639
