x y
0 0
1000 102.857142857
2000 27.0676691729
3000 27.0676691729
4000 27.0676691729
5000 22.3602484472
6000 22.3602484472
7000 40.9908677116
8000 55.3846153846
9000 57.5350100564
10000 163.636363636
11000 146.433225836
12000 65.2422680341
13000 72.0396912794
14000 99.2139912605
15000 80.2884278416
16000 69.6612003517
17000 73.6927299884
18000 74.8128727606
19000 76.414602331
20000 78.4804597654
21000 70.7126068526
22000 74.7262713174
23000 80.227982245
24000 70.7359578133
25000 76.4056540315
26000 70.1481595553
27000 70.1255687137
28000 67.4302373607
29000 98.0959420481
30000 68.6373579179
31000 70.3181295439
32000 82.4519156712
33000 89.7266721574
34000 90.5678417663
35000 85.0491632415
36000 84.9240999958
37000 131.443301414
38000 103.330064382
39000 98.2215361517
40000 91.8311156088
41000 103.340395464
42000 80.2984412963
43000 122.840860805
44000 89.7368517054
45000 89.0214098245
46000 102.020120601
47000 77.9987140699
48000 78.8386095546
49000 75.5615693781
50000 93.2313843559
51000 95.3125585918
52000 90.7269706535
53000 87.1060419211
54000 85.2492095283
55000 130.352945683
56000 76.1985794626
57000 58.390258352
58000 98.9862366601
59000 60.2107450374
60000 70.6485150472
61000 59.0727193124
62000 69.6681091813
63000 71.6644358627
64000 60.6025422462
65000 76.9230769231
66000 57.8493329458
67000 76.3814337528
68000 63.722952887
69000 33.5792124348
70000 75.9524891589
71000 56.463708215
72000 50.2520045267
73000 62.8475744875
74000 70.9890925433
75000 38.1044891876
76000 35.3497612913
77000 49.2110666663
78000 35.5777176533
79000 40.8852740293
