x y
0 0
1000 33.5403726708
2000 43.9024390244
3000 43.9024390244
4000 43.9024390244
5000 43.9024390244
6000 43.9024390244
7000 42.2384607281
8000 38.587088916
9000 39.9445214979
10000 360.0
11000 264.163122008
12000 343.828895454
13000 113.916675893
14000 159.206283618
15000 74.3939748361
16000 70.0567432385
17000 72.7914195747
18000 80.0820271562
19000 119.71975079
20000 148.00944503
21000 147.032119508
22000 176.180218823
23000 182.577236228
24000 157.817063437
25000 161.612346867
26000 164.279956239
27000 181.193255
28000 153.52724494
29000 156.349739288
30000 175.783751898
31000 182.05803848
32000 195.050103153
33000 195.682870589
34000 191.504569815
35000 189.243129034
36000 188.666651836
37000 197.359357061
38000 197.359357061
39000 197.359357061
40000 197.359357061
41000 197.359357061
42000 191.254065775
43000 182.373347691
44000 192.258477866
45000 196.459773269
46000 197.688514736
47000 198.171734152
48000 195.720937964
49000 197.093036657
50000 195.191454051
51000 186.56111132
52000 195.419735113
53000 189.257428499
54000 195.639108867
55000 195.510664562
56000 196.312448348
57000 197.362497799
58000 197.471324975
59000 177.067322472
60000 177.502244889
61000 198.14471243
62000 198.14471243
63000 198.14471243
64000 198.14471243
65000 170.72310842
66000 152.164948454
67000 152.164948454
68000 149.645725083
69000 144.525547445
70000 144.525547445
71000 217.130053666
72000 219.565662851
73000 226.00896861
74000 233.653846154
75000 222.28157039
76000 226.00896861
77000 233.653846154
78000 226.00896861
79000 215.833866658
