x y
0 0
1000 54.5454545455
2000 54.5454545455
3000 54.5454545455
4000 66.5150653781
5000 66.5150653781
6000 327.272727273
7000 107.399292095
8000 107.399292095
9000 107.399292095
10000 191.776755884
11000 206.369426752
12000 206.369426752
13000 161.910669975
14000 161.910669975
15000 161.910669975
16000 176.765402677
17000 161.910669975
18000 170.759772683
19000 155.66697372
20000 175.538864812
21000 142.03819857
22000 187.086614173
23000 289.051094891
24000 289.051094891
25000 289.051094891
26000 289.051094891
27000 289.051094891
28000 289.051094891
29000 152.881698686
30000 152.881698686
31000 185.534591195
32000 185.534591195
33000 238.528242227
34000 231.243999451
35000 235.481007335
36000 235.441758612
37000 242.577607768
38000 242.577607768
39000 235.441758612
40000 235.441758612
41000 201.848753319
42000 232.901745118
43000 198.523829608
44000 234.7030416
45000 234.7030416
46000 234.7030416
47000 234.7030416
48000 234.7030416
49000 207.318028352
50000 223.533015053
51000 235.531218193
52000 200.0
53000 200.0
54000 232.066115702
55000 232.066115702
56000 232.066115702
57000 232.066115702
58000 232.066115702
59000 224.387291982
60000 72.3551171393
61000 72.3551171393
62000 74.4675642595
63000 74.4675642595
64000 74.4675642595
65000 48.3671744642
66000 48.3671744642
67000 53.5770830255
68000 53.5770830255
69000 56.9584910343
70000 298.144329897
71000 298.144329897
72000 298.144329897
73000 298.144329897
74000 298.144329897
75000 241.671975846
76000 241.671975846
77000 296.449180742
78000 296.449180742
79000 296.449180742
