x y
0 0
1000 300.0
2000 300.0
3000 300.0
4000 300.0
5000 300.0
6000 142.96875
7000 142.96875
8000 138.33209888
9000 138.709063567
10000 144.042472612
11000 158.810852739
12000 115.995248005
13000 134.513274336
14000 134.513274336
15000 134.513274336
16000 134.513274336
17000 151.618517229
18000 151.618517229
19000 151.618517229
20000 151.618517229
21000 151.618517229
22000 143.495400788
23000 143.495400788
24000 143.495400788
25000 163.788446869
26000 155.13239964
27000 162.587946128
28000 360.0
29000 360.0
30000 138.509820559
31000 150.348027842
32000 150.348027842
33000 150.348027842
34000 150.348027842
35000 150.348027842
36000 150.348027842
37000 150.348027842
38000 150.348027842
39000 150.348027842
40000 131.992058172
41000 150.348027842
42000 150.348027842
43000 150.348027842
44000 130.463215259
45000 151.990349819
46000 123.395238689
47000 123.395238689
48000 130.040187619
49000 135.219512195
50000 110.370459965
51000 150.348027842
52000 150.348027842
53000 176.597659766
54000 176.597659766
55000 121.212121212
56000 121.212121212
57000 121.212121212
58000 138.992805755
59000 138.992805755
60000 112.282638697
61000 112.282638697
62000 112.282638697
63000 112.282638697
64000 112.282638697
65000 89.762890478
66000 100.736377025
67000 100.736377025
68000 100.736377025
69000 100.736377025
70000 100.736377025
71000 70.2615626618
72000 70.2868738147
73000 106.298978276
74000 106.298978276
75000 106.298978276
76000 106.298978276
77000 106.298978276
78000 75.5230075363
79000 79.212507238
