x y
0 0
1000 9.11392405063
2000 14.474439977
3000 16.37293917
4000 17.3493975904
5000 17.3493975904
6000 13.4185303514
7000 26.1497319366
8000 27.9013316375
9000 23.8422272042
10000 18.7231829411
11000 18.7231829411
12000 18.7231829411
13000 18.7231829411
14000 15.1164203289
15000 23.9927294759
16000 37.0017652221
17000 23.7861389457
18000 31.1041189314
19000 24.6668988371
20000 34.012091861
21000 19.8949909467
22000 64.8648648649
23000 64.8648648649
24000 64.8648648649
25000 19.1787381779
26000 19.1787381779
27000 23.0680285219
28000 23.0680285219
29000 93.7875751503
30000 6.55737704918
31000 21.0733276733
32000 21.0733276733
33000 27.8911632959
34000 28.8791110278
35000 34.0279924582
36000 34.8096670448
37000 27.8082471276
38000 25.8169821302
39000 30.3017224453
40000 27.9307827782
41000 39.1304347826
42000 39.1304347826
43000 27.6957888121
44000 27.6957888121
45000 71.3312693498
46000 71.3312693498
47000 71.0331597698
48000 71.4285714286
49000 71.4285714286
50000 71.4285714286
51000 71.4285714286
52000 70.7337180544
53000 62.222391061
54000 63.6916715851
55000 51.2618435578
56000 55.4099854702
57000 28.9224952741
58000 28.9224952741
59000 28.9224952741
60000 2.92207792208
61000 4.51092893038
62000 29.8249273161
63000 29.7268744012
64000 3.1718061674
65000 3.1718061674
66000 3.1718061674
67000 3.1718061674
68000 3.1718061674
69000 22.7678571429
70000 30.1365544719
71000 31.3874717739
72000 31.3874717739
73000 33.3037018055
74000 61.7076326003
75000 61.7076326003
76000 63.3023771309
77000 61.8276085548
78000 64.2021967639
79000 25.9117082534
