x y
0 0
1000 60.0
2000 60.0
3000 60.0
4000 60.0
5000 16.7036514021
6000 16.7036514021
7000 16.7036514021
8000 20.6141389217
9000 31.6933880666
10000 32.1428571429
11000 360.0
12000 127.06580278
13000 110.608728894
14000 33.0015715034
15000 25.8356524139
16000 24.8726359132
17000 24.8726359132
18000 27.4517770496
19000 25.8446190839
20000 324.331334693
21000 340.865560102
22000 351.301411465
23000 286.12172235
24000 360.0
25000 17.6904176904
26000 17.6904176904
27000 23.5769075495
28000 23.5769075495
29000 23.5769075495
30000 23.5769075495
31000 23.6608902203
32000 30.4759157537
33000 25.1604456254
34000 118.680293476
35000 138.461538462
36000 118.489421539
37000 114.766130576
38000 134.551250402
39000 101.672968806
40000 124.137931034
41000 64.6850044366
42000 74.5595054096
43000 94.7368421053
44000 167.010309278
45000 94.7368421053
46000 165.517241379
47000 165.517241379
48000 167.010309278
49000 165.517241379
50000 165.517241379
51000 71.609403255
52000 73.0535615682
53000 74.2600896861
54000 74.2600896861
55000 99.3506493506
56000 99.3506493506
57000 99.3506493506
58000 99.3506493506
59000 99.3506493506
60000 50.7042253521
61000 7.61051086321
62000 10.6862231535
63000 3.71517027864
64000 3.71517027864
65000 3.71517027864
66000 3.71517027864
67000 3.71517027864
68000 0
69000 0
70000 0
71000 0
72000 88.0733944954
73000 88.0733944954
74000 88.0733944954
75000 88.0733944954
76000 165.517241379
77000 99.3506493506
78000 99.3506493506
79000 99.3506493506
