#smooth.spline(x = tableDelivery$variable, y = tableDelivery$delivery, spar = 1)
#Smoothing Parameter  spar= 1  lambda= 5.366908
#Equivalent Degrees of Freedom (Df): 2.00738
#Penalized Criterion: 0.004252406
#GCV: 0.0004574837
x y
500 0.538719542318959
1000 0.547052030153735
2000 0.563718395449086
3000 0.580388516403705
4000 0.597063047830538
5000 0.613741229598957
6000 0.630421231890534
7000 0.647103047945751
8000 0.663787396639501
9000 0.680474078683483
10000 0.697160266795928
11000 0.713844356121486
12000 0.73052686048988
