#smooth.spline(x = tableDelivery$variable, y = tableDelivery$delivery, spar = 1)
#Smoothing Parameter  spar= 1  lambda= 5.366908
#Equivalent Degrees of Freedom (Df): 2.00738
#Penalized Criterion: 0.006199004
#GCV: 0.0006669033
x y
500 0.530055250173758
1000 0.539657348596644
2000 0.558862943210076
3000 0.578071369520723
4000 0.597280523249924
5000 0.616487721912717
6000 0.635690321096281
7000 0.654886946915186
8000 0.674076706068282
9000 0.693257136565548
10000 0.712428274065648
11000 0.731592351664726
12000 0.750753107276882
