#smooth.spline(x = tableOverhead$variable, y = tableOverhead$overhead, spar = 1)
#Smoothing Parameter  spar= 1  lambda= 5.366908
#Equivalent Degrees of Freedom (Df): 2.00738
#Penalized Criterion: 2960.899
#GCV: 318.5404
x y
500 147.981908235774
1000 156.266192202389
2000 172.835000595971
3000 189.403646674906
4000 205.969975103273
5000 222.531929216275
6000 239.088027133104
7000 255.635978530304
8000 272.174685228282
9000 288.703316749778
10000 305.22232780609
11000 321.73485849175
12000 338.244454120333
