#smooth.spline(x = tableOverhead$variable, y = tableOverhead$overhead, spar = 1)
#Smoothing Parameter  spar= 1  lambda= 5.366908
#Equivalent Degrees of Freedom (Df): 2.00738
#Penalized Criterion: 17939.68
#GCV: 1929.993
x y
500 93.4987923901915
1000 115.837320953705
2000 160.512988010969
3000 205.182108795601
4000 249.835525793464
5000 294.462380973156
6000 339.053050583489
7000 383.59927645945
8000 428.098709960916
9000 472.556391566934
10000 516.982970679832
11000 561.390483562422
12000 605.789500325389
